"codigo_municipio_dv_agrupado","municipio_agrupado","uf","vl_agropecuaria","vl_industria","vl_servicos","vl_administracao","vl_bruto_total","vl_subsidios","vl_pib","vl_pib_per_capta","total_habitantes","vitimas_feminicidio","vitimas_homicidio_doloso","vitimas_tentativa_homicidio","vitimas_lesao_corporal_seguida_de_morte","vitimas_transito_ou_decorrencia_dele","vitimas_sem_indicio_de_crime","vitimas_latrocinio","vitimas_suicidios","vitimas_totais"
"5300108",Brasília (agregado),DF,1623976.909,10942472.569,116547655.37,111267001.38,240381106.23,25466227.775,265847334,87016.16,2817381,13.00,249.00,600.00,2.00,162.00,2.00,23.00,140.00,1191.00
"5200258",ÁGUAS LINDAS DE GOIÁS,GO,4779.786,161139.615,910513.861,840479.143,1916912.405,171163.739,2088076.144,9591.62,225693,3.00,38.00,46.00,0.00,10.00,10.00,5.00,17.00,129.00
"5212501",LUZIÂNIA,GO,453378.507,1466069.363,1591436.488,844225.55,4355109.908,427334.727,4782444.635,22611.18,209129,6.00,59.00,87.00,0.00,22.00,3.00,1.00,13.00,191.00
"5221858",VALPARAÍSO DE GOIÁS,GO,789.761,278802.325,1388679.327,753323.236,2421594.648,252117.586,2673712.234,15532.65,198861,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
"5208004",FORMOSA,GO,191742.233,476700.734,1259520.23,526503.132,2454466.329,284894.766,2739361.095,22148.06,115901,1.00,26.00,32.00,0.00,11.00,2.00,1.00,9.00,82.00
"5217609",PLANALTINA,DF,118752.468,122030.905,501521.639,443629.395,1185934.407,94967.113,1280901.52,14131.75,105031,2.00,37.00,41.00,1.00,24.00,0.00,2.00,9.00,116.00
"5215231",NOVO GAMA,GO,5105.122,77382.858,446127.354,455759.014,984374.349,84927.445,1069301.794,9084.75,103804,0.00,28.00,34.00,1.00,2.00,0.00,2.00,7.00,74.00
"5205497",CIDADE OCIDENTAL,GO,36842.387,130292.758,328037.813,311129.44,806302.398,56539.267,862841.665,11837.59,91767,2.00,26.00,50.00,0.00,3.00,0.00,3.00,12.00,96.00
"3170404",UNAÍ,MG,1030634.183,275259.577,1298186.481,436455.942,3040536.182,281592.284,3322128.466,39116.08,86619,1.00,12.00,15.00,0.00,6.00,0.00,2.00,6.00,42.00
"5208608",GOIANÉSIA,GO,93054.693,358090.054,667324.801,305695.864,1424165.412,156682.876,1580848.288,22241.97,73707,0.00,5.00,23.00,2.00,5.00,0.00,0.00,6.00,41.00
"5219753",SANTO ANTÔNIO DO DESCOBERTO,GO,25983.777,52946.189,276829.946,339947.38,695707.292,47639.588,743346.88,9802.94,72127,0.00,28.00,23.00,0.00,1.00,10.00,0.00,2.00,64.00
"5206206",CRISTALINA,GO,1656213.014,290359.781,913508.296,312524.791,3172605.881,262915.021,3435520.902,57058.98,62337,1.00,25.00,41.00,0.00,10.00,5.00,1.00,5.00,88.00
"5215603",PADRE BERNARDO,GO,328114.809,42186.358,207355.479,152631.427,730288.073,40870.384,771158.457,22397.86,34967,0.00,6.00,18.00,0.00,5.00,1.00,0.00,2.00,32.00
"5214606",NIQUELÂNDIA,GO,323477.31,133312.816,288957.042,229045.756,974792.923,94191.772,1068984.696,22875.77,34964,0.00,14.00,29.00,0.00,3.00,3.00,0.00,1.00,50.00
"5200308",ALEXÂNIA,GO,106706.518,242684.015,375847.574,139953.131,865191.238,115835.976,981027.214,35024.18,27008,0.00,6.00,8.00,0.00,1.00,0.00,1.00,4.00,20.00
"5217302",PIRENÓPOLIS,GO,157751.146,43138.578,186961.661,108441.029,496292.415,31941.396,528233.811,21075.4,26690,0.00,4.00,11.00,0.00,6.00,0.00,0.00,3.00,24.00
"5205513",COCALZINHO DE GOIÁS,GO,109652.21,48328.465,96764.746,96810.661,351556.082,21994.502,373550.584,18218.42,25016,0.00,8.00,9.00,0.00,8.00,3.00,0.00,1.00,29.00
"3109303",BURITIS,MG,449091.721,74765.442,257351.96,124040.163,905249.286,46178.511,951427.797,38037.33,24030,0.00,4.00,7.00,0.00,2.00,0.00,1.00,6.00,20.00
"3104502",ARINOS,MG,76409.155,11462.502,90765.674,86249.935,264887.266,15292.705,280179.971,15685.81,17272,2.00,4.00,5.00,0.00,1.00,0.00,0.00,1.00,13.00
